Category,Question,Response
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 2,[Cluster #68542] Please help to flash Yocto OS present in Description.,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Have problem flashing os to BKC RC05 on system 499711 of cluster 68617,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster #68542] Please help to flash Yocto OS present in Description.,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster #68542] Please help to flash Yocto OS present in Description.,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster#68476] Flash specific ubuntu image on ADL-N manually,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster #68544] Please help to flash Yocto OS on SUT #535425,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Request to flash the custom Ubuntu BKC image on ADL P RBF setup [ADL P DDR5 T3 RVP FAB 1 - AA M10333-101],"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster#68476] Flash specific ubuntu image on ADL-N manually,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster#68476] Flash specific ubuntu image on ADL-N manually,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Cluster #68539 Please help to flash Yocto OS [SUT #535369],"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Cluster #68539 Please help to flash Yocto OS [SUT #535369],"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Request to install Windows in RPLS NVME RBF PG cluster ID: 68308,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,WIM image PD is not connected to 68234,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,"[BA] #65453 add in another NVMe, install OS(BKC04) into it","You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster#68476] Flash specific ubuntu image on ADL-N manually,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster #68544] Please help to flash Yocto OS on SUT #535425,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Request to install Ubuntu Enterprise Server 22.04 Version,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[ADL-S] Please help to flash Ubuntu 22.04 to SUT cluster #68498,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Create bootable drive for ubuntu and attach to SUT,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,Request to flash the custom Ubuntu BKC image on ADL P RBF setup [ADL P DDR5 T3 RVP FAB 1 - AA M10333-101],"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash non BKC image, kindly file ticket to RBF for request. "
RBF-BKC update - 2,[Cluster #68542] Please help to flash Yocto OS present in Description.,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
